code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
DIG,2023-07-05,13:20:39,HOSE,STOCK,21.5,23.0,20.0,21.7,21.75,21.45,21.5,21.59044087,21.7,21.75,21.45,21.5,21.59044087,5339400.0,115280000000.0,0.0,0.0,0.0,0.0,0.0
DIG,2023-07-04,15:07:04,HOSE,STOCK,20.9,22.35,19.45,20.9,21.55,20.8,21.5,21.27,20.9,21.55,20.8,21.5,21.27,15187700.0,322980920000.0,0.0,0.0,0.6,0.6,2.8708
DIG,2023-07-03,15:07:24,HOSE,STOCK,21.05,22.5,19.6,21.2,21.35,20.8,20.9,20.98,21.2,21.35,20.8,20.9,20.98,11247800.0,235940645000.0,0.0,0.0,-0.15,-0.15,-0.7126
DIG,2023-06-30,15:06:02,HOSE,STOCK,21.1,22.55,19.65,21.0,21.25,20.7,21.05,20.92,21.0,21.25,20.7,21.05,20.92,18187400.0,380550955000.0,0.0,0.0,-0.05,-0.05,-0.237
DIG,2023-06-29,15:06:02,HOSE,STOCK,22.4,23.95,20.85,22.2,22.3,21.1,21.1,21.6,22.2,22.3,21.1,21.1,21.6,48143500.0,1040123205000.0,3637000.0,82184600000.0,-1.3,-1.3,-5.8036
DIG,2023-06-28,15:06:02,HOSE,STOCK,22.85,24.4,21.3,23.05,23.1,22.4,22.4,22.74,23.05,23.1,22.4,22.4,22.74,21499200.0,488816845000.0,5256074.0,119838487200.0,-0.45,-0.45,-1.9694
DIG,2023-06-27,15:06:03,HOSE,STOCK,23.1,24.7,21.5,23.3,23.3,22.7,22.85,22.9,23.3,23.3,22.7,22.85,22.9,18341100.0,420050745000.0,1090000.0,24852000000.0,-0.25,-0.25,-1.0823
DIG,2023-06-26,15:06:02,HOSE,STOCK,22.8,24.35,21.25,22.7,23.3,22.0,23.1,22.63,22.7,23.3,22.0,23.1,22.63,36668400.0,829661800000.0,3708000.0,84542400000.0,0.3,0.3,1.3158
DIG,2023-06-23,15:06:02,HOSE,STOCK,23.05,24.65,21.45,23.05,23.15,22.6,22.8,22.86,23.05,23.15,22.6,22.8,22.86,21975700.0,502278280000.0,2367000.0,54441000000.0,-0.25,-0.25,-1.0846
DIG,2023-06-22,15:06:05,HOSE,STOCK,21.7,23.2,20.2,22.2,23.2,22.1,23.05,22.73,22.2,23.2,22.1,23.05,22.73,47760100.0,1085723045000.0,0.0,0.0,1.35,1.35,6.2212
DIG,2023-06-21,15:06:02,HOSE,STOCK,21.85,23.35,20.35,21.9,21.95,21.45,21.7,21.66,21.9,21.95,21.45,21.7,21.66,22209800.0,481135670000.0,0.0,0.0,-0.15,-0.15,-0.6865
DIG,2023-06-20,15:06:01,HOSE,STOCK,21.2,22.65,19.75,21.45,21.9,21.3,21.85,21.63,21.45,21.9,21.3,21.85,21.63,18877900.0,408393850000.0,0.0,0.0,0.65,0.65,3.066
DIG,2023-06-19,15:06:02,HOSE,STOCK,20.8,22.25,19.35,21.0,21.65,20.7,21.2,21.1,21.0,21.65,20.7,21.2,21.1,21117800.0,445665120000.0,0.0,0.0,0.4,0.4,1.9231
DIG,2023-06-16,15:06:02,HOSE,STOCK,20.55,21.95,19.15,20.9,21.35,20.75,20.8,21.09,20.9,21.35,20.75,20.8,21.09,25058000.0,528370835000.0,0.0,0.0,0.25,0.25,1.2165
DIG,2023-06-15,15:06:02,HOSE,STOCK,20.5,21.9,19.1,20.5,20.7,20.3,20.55,20.48,20.5,20.7,20.3,20.55,20.48,9995900.0,204700395000.0,0.0,0.0,0.05,0.05,0.2439
DIG,2023-06-14,15:06:02,HOSE,STOCK,20.95,22.4,19.5,21.2,21.5,20.5,20.5,21.03,21.2,21.5,20.5,20.5,21.03,15125300.0,318018410000.0,0.0,0.0,-0.45,-0.45,-2.148
DIG,2023-06-13,15:06:02,HOSE,STOCK,20.25,21.65,18.85,20.55,21.25,20.2,20.95,20.71,20.55,21.25,20.2,20.95,20.71,23340100.0,483394935000.0,1321900.0,27231140000.0,0.7,0.7,3.4568
DIG,2023-06-12,15:06:02,HOSE,STOCK,20.9,22.35,19.45,20.8,20.9,19.95,20.25,20.32,20.8,20.9,19.95,20.25,20.32,20145000.0,409361000000.0,3000000.0,61800000000.0,-0.65,-0.65,-3.11
DIG,2023-06-09,15:06:02,HOSE,STOCK,20.8,22.25,19.35,20.9,21.15,19.8,20.9,20.55,20.9,21.15,19.8,20.9,20.55,29069500.0,597464585000.0,0.0,0.0,0.1,0.1,0.4808
DIG,2023-06-08,15:06:03,HOSE,STOCK,22.0,23.5,20.5,22.15,22.25,20.8,20.8,21.52,22.15,22.25,20.8,20.8,21.52,28200600.0,606873135000.0,1484000.0,32648000000.0,-1.2,-1.2,-5.4545
DIG,2023-06-07,15:06:02,HOSE,STOCK,21.35,22.8,19.9,21.25,22.2,21.25,22.0,21.71,21.25,22.2,21.25,22.0,21.71,24945900.0,541563035000.0,0.0,0.0,0.65,0.65,3.0445
DIG,2023-06-06,15:06:02,HOSE,STOCK,21.2,22.65,19.75,21.15,21.55,20.8,21.35,21.19,21.15,21.55,20.8,21.35,21.19,21346400.0,452359900000.0,0.0,0.0,0.15,0.15,0.7075
DIG,2023-06-05,15:06:03,HOSE,STOCK,21.8,23.3,20.3,21.95,22.0,21.2,21.2,21.56,21.95,22.0,21.2,21.2,21.56,24029000.0,518051840000.0,0.0,0.0,-0.6,-0.6,-2.7523
DIG,2023-06-02,15:06:01,HOSE,STOCK,22.15,23.7,20.6,22.6,22.6,21.55,21.8,21.91,22.6,22.6,21.55,21.8,21.91,22620600.0,495515700000.0,0.0,0.0,-0.35,-0.35,-1.5801
DIG,2023-06-01,15:06:02,HOSE,STOCK,21.35,22.8,19.9,21.55,22.25,21.5,22.15,21.96,21.55,22.25,21.5,22.15,21.96,23101000.0,507323960000.0,0.0,0.0,0.8,0.8,3.7471
DIG,2023-05-31,15:05:03,HOSE,STOCK,20.95,22.4,19.5,21.05,21.65,20.8,21.35,21.2,21.05,21.65,20.8,21.35,21.2,21736000.0,460873550000.0,0.0,0.0,0.4,0.4,1.9093
DIG,2023-05-30,15:05:02,HOSE,STOCK,20.9,22.35,19.45,21.3,21.7,20.85,20.95,21.19,21.3,21.7,20.85,20.95,21.19,27591400.0,584579455000.0,100000.0,1965000000.0,0.05,0.05,0.2392
DIG,2023-05-29,15:05:02,HOSE,STOCK,20.8,22.25,19.35,21.2,21.3,20.8,20.9,20.96,21.2,21.3,20.8,20.9,20.96,15832600.0,331917725000.0,0.0,0.0,0.1,0.1,0.4808
DIG,2023-05-26,15:05:02,HOSE,STOCK,20.55,21.95,19.15,20.55,21.15,20.25,20.8,20.62,20.55,21.15,20.25,20.8,20.62,15835400.0,326585155000.0,0.0,0.0,0.25,0.25,1.2165
DIG,2023-05-25,15:05:01,HOSE,STOCK,20.85,22.3,19.4,20.6,20.95,19.85,20.55,20.48,20.6,20.95,19.85,20.55,20.48,21191400.0,434049050000.0,0.0,0.0,-0.3,-0.3,-1.4388
DIG,2023-05-24,15:05:02,HOSE,STOCK,20.6,22.0,19.2,20.7,21.45,20.7,20.85,21.07,20.7,21.45,20.7,20.85,21.07,26286800.0,553850940000.0,23000.0,441600000.0,0.25,0.25,1.2136
DIG,2023-05-23,15:05:02,HOSE,STOCK,20.5,21.9,19.1,20.6,20.95,20.35,20.6,20.63,20.6,20.95,20.35,20.6,20.63,21727300.0,448212960000.0,0.0,0.0,0.1,0.1,0.4878
DIG,2023-05-22,15:05:02,HOSE,STOCK,20.5,21.9,19.1,20.8,20.8,20.2,20.5,20.48,20.8,20.8,20.2,20.5,20.48,12991800.0,266053010000.0,50000.0,955000000.0,0.0,0.0,0.0
DIG,2023-05-19,15:05:02,HOSE,STOCK,19.35,20.7,18.0,19.75,20.5,19.0,20.5,19.73,19.75,20.5,19.0,20.5,19.73,31926300.0,629879395000.0,0.0,0.0,1.15,1.15,5.9432
DIG,2023-05-18,17:05:32,HOSE,STOCK,20.8,22.25,19.35,20.85,20.95,19.35,19.35,20.17,20.85,20.95,19.35,19.35,20.17,33831900.0,682513500000.0,0.0,0.0,-1.45,-1.45,-6.9712
DIG,2023-05-17,15:05:14,HOSE,STOCK,21.0,22.45,19.55,21.2,21.6,20.8,20.8,21.23,21.2,21.6,20.8,20.8,21.23,21834300.0,463561460000.0,0.0,0.0,-0.2,-0.2,-0.9524
DIG,2023-05-16,15:05:08,HOSE,STOCK,20.2,21.6,18.8,20.25,21.0,20.2,21.0,20.65,20.25,21.0,20.2,21.0,20.65,21177400.0,437413935000.0,0.0,0.0,0.8,0.8,3.9604
DIG,2023-05-15,15:05:15,HOSE,STOCK,20.65,22.05,19.25,20.9,21.15,20.2,20.2,20.77,20.9,21.15,20.2,20.2,20.77,19760300.0,410365035000.0,124000.0,2389500000.0,-0.45,-0.45,-2.1792
DIG,2023-05-12,15:05:05,HOSE,STOCK,20.45,21.85,19.05,20.5,20.75,20.3,20.65,20.54,20.5,20.75,20.3,20.65,20.54,18622400.0,382468080000.0,0.0,0.0,0.2,0.2,0.978
DIG,2023-05-11,15:05:03,HOSE,STOCK,19.15,20.45,17.85,19.3,20.45,19.2,20.45,20.09,19.3,20.45,19.2,20.45,20.09,35770300.0,718486295000.0,0.0,0.0,1.3,1.3,6.7885
DIG,2023-05-10,15:05:03,HOSE,STOCK,18.5,19.75,17.25,18.5,19.5,18.5,19.15,19.11,18.5,19.5,18.5,19.15,19.11,21290200.0,406859595000.0,0.0,0.0,0.65,0.65,3.5135
DIG,2023-05-09,15:05:05,HOSE,STOCK,18.85,20.15,17.55,18.85,18.95,18.3,18.5,18.53,18.85,18.95,18.3,18.5,18.53,16318600.0,302323005000.0,0.0,0.0,-0.35,-0.35,-1.8568
DIG,2023-05-08,15:05:07,HOSE,STOCK,19.05,20.35,17.75,19.4,19.4,18.4,18.85,18.89,19.4,19.4,18.4,18.85,18.89,28911700.0,546069365000.0,0.0,0.0,-0.2,-0.2,-1.0499
DIG,2023-05-05,15:05:04,HOSE,STOCK,18.9,20.2,17.6,18.9,19.3,18.25,19.05,18.71,18.9,19.3,18.25,19.05,18.71,22033100.0,412208755000.0,0.0,0.0,0.15,0.15,0.7937
